Episode 122 | Reward -21.0 | Avg5 -20.4
Episode 123 | Reward -19.0 | Avg5 -20.2
Episode 124 | Reward -21.0 | Avg5 -20.2
Episode 125 | Reward -17.0 | Avg5 -19.6
Episode 126 | Reward -21.0 | Avg5 -19.8
Episode 127 | Reward -21.0 | Avg5 -19.8
Episode 128 | Reward -21.0 | Avg5 -20.2
Episode 129 | Reward -21.0 | Avg5 -20.2
Episode 130 | Reward -21.0 | Avg5 -21.0
Episode 131 | Reward -20.0 | Avg5 -20.8
Episode 132 | Reward -20.0 | Avg5 -20.6
Episode 133 | Reward -20.0 | Avg5 -20.4
Episode 134 | Reward -21.0 | Avg5 -20.4
Episode 135 | Reward -21.0 | Avg5 -20.4
Episode 136 | Reward -21.0 | Avg5 -20.6
Episode 137 | Reward -20.0 | Avg5 -20.6
Episode 138 | Reward -21.0 | Avg5 -20.8
Episode 139 | Reward -21.0 | Avg5 -20.8
Episode 140 | Reward -19.0 | Avg5 -20.4
Episode 141 | Reward -20.0 | Avg5 -20.2
Episode 142 | Reward -21.0 | Avg5 -20.4
Episode 143 | Reward -18.0 | Avg5 -19.8
Episode 144 | Reward -19.0 | Avg5 -19.4
Episode 145 | Reward -21.0 | Avg5 -19.8
Episode 146 | Reward -19.0 | Avg5 -19.6
Episode 147 | Reward -21.0 | Avg5 -19.6
Episode 148 | Reward -21.0 | Avg5 -20.2
Episode 149 | Reward -19.0 | Avg5 -20.2
Episode 150 | Reward -21.0 | Avg5 -20.2
Episode 151 | Reward -20.0 | Avg5 -20.4
Episode 152 | Reward -20.0 | Avg5 -20.2
Episode 153 | Reward -20.0 | Avg5 -20.0
Episode 154 | Reward -21.0 | Avg5 -20.4
Episode 155 | Reward -21.0 | Avg5 -20.4
Episode 156 | Reward -20.0 | Avg5 -20.4
Episode 157 | Reward -19.0 | Avg5 -20.2
Episode 158 | Reward -19.0 | Avg5 -20.0
Episode 159 | Reward -18.0 | Avg5 -19.4
Episode 160 | Reward -18.0 | Avg5 -18.8
Episode 161 | Reward -19.0 | Avg5 -18.6
Episode 162 | Reward -19.0 | Avg5 -18.6
Episode 163 | Reward -20.0 | Avg5 -18.8
Episode 164 | Reward -20.0 | Avg5 -19.2
Episode 165 | Reward -20.0 | Avg5 -19.6
Episode 166 | Reward -17.0 | Avg5 -19.2
